image,method,num_gt,num_pred,instance_recall,instance_precision,instance_f1,mean_best_iou,semantic_iou
image_0000,sam_zero_shot,9.0,8.0,0.4444444444444444,0.5,0.47058823529411764,0.4235038472991295,0.45963883315326437
image_0001,sam_zero_shot,6.0,4.0,0.5,0.75,0.6,0.3805836071896025,0.25908909308829403
image_0002,sam_zero_shot,7.0,4.0,0.2857142857142857,0.5,0.36363636363636365,0.24119969441465594,0.518994914747233
image_0003,sam_zero_shot,6.0,7.0,0.5,0.42857142857142855,0.4615384615384615,0.41756151288257176,0.3736706168337891
image_0004,sam_zero_shot,6.0,5.0,0.3333333333333333,0.4,0.3636363636363636,0.3448694249950359,0.29764579466640617
AVERAGE,sam_zero_shot,6.8,5.6,0.41269841269841273,0.5157142857142857,0.45187988482106123,0.3615436173561991,0.38180785049779736
